Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
8999999533496	BANGO 25g RTG(12X12)	KECAP	1.00	PCS	772	1,000	0
8999999533496	BANGO 25g RTG(12X12)	KECAP	12.00	RCG	9,269	10,500	9,750
8999999533496	BANGO 25g RTG(12X12)	KECAP	144.00	DUS	111,229	115,000	0
8990121011073	BANGO BTL 189g(1X48)	KECAP	1.00	PCS	8,792	10,500	9,500
8990121011073	BANGO BTL 189g(1X48)	KECAP	48.00	DUS	422,035	430,500	0
8999999002503	BANGO BTL385ml(1X24)	KECAP	1.00	PCS	19,900	22,500	20,750
8999999002503	BANGO BTL385ml(1X24)	KECAP	24.00	DUS	477,600	487,500	0
8999999615741	BANGO BUNDLING 700G+189G(1X12)	BAHAN DAPUR	1.00	PCS	26,829	31,000	28,000
8999999615741	BANGO BUNDLING 700G+189G(1X12)	BAHAN DAPUR	12.00	DUS	321,952	332,000	0
8999999593223	BANGO KECAP 265g(1X24)	KECAP	1.00	PCS	8,830	10,000	9,200
8999999593223	BANGO KECAP 265g(1X24)	KECAP	24.00	DUS	211,920	217,000	0
8999999514006	BANGO KECAP 77g(1X48)	KECAP	1.00	PCS	2,317	3,000	2,500
8999999514006	BANGO KECAP 77g(1X48)	KECAP	48.00	DUS	111,220	113,500	0
8999999514617	BANGO POUCH 540g(1X12)	KECAP	1.00	PCS	18,025	19,500	17,500
8999999514617	BANGO POUCH 540g(1X12)	KECAP	12.00	DUS	216,303	198,500	0
8999999100506	BANGO POUCH 700g(1X12)	KECAP	1.00	PCS	21,558	25,000	22,900
8999999100506	BANGO POUCH 700g(1X12)	KECAP	12.00	DUS	258,696	273,000	0
BRBMK	BARACK BARMACH	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
BRCL	BARACK CAMEL 50G	BHN ROKOK	1.00	PCS	12,429	17,000	15,000
BRCMX	BARACK CHANGE MIX	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
BRCP	BARACK CHANGE PUNCH 50G	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
BRCHSE	BARACK CHESEE 50G	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
BRCDC	BARACK DOBLE CHANGE 50G	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
BJMJW	BARACK JAWJAM 50G	BHN ROKOK	1.00	PCS	12,429	17,000	16,500
8998866632089	BBY JP S56(1X4)	POPOK	1.00	PCS	56,000	65,000	59,500
8998866632089	BBY JP S56(1X4)	POPOK	4.00	DUS	224,000	231,000	0
8998866502498	BBYHAPY JP XL38(1X4)	POPOK	1.00	PCS	62,000	72,000	66,000
8998866502498	BBYHAPY JP XL38(1X4)	POPOK	4.00	DUS	248,000	255,500	0
8998866500555	BBYHAPY L28(1X4)	POPOK	1.00	PCS	43,000	50,000	45,500
8998866500555	BBYHAPY L28(1X4)	POPOK	4.00	DUS	172,000	177,000	0
8998866500500	BBYHAPY M32(1X4)	POPOK	1.00	PCS	43,000	50,000	45,500
8998866500500	BBYHAPY M32(1X4)	POPOK	4.00	DUS	172,000	177,000	0
8998866501217	BBYHAPY S38+2(1X4)	POPOK	1.00	PCS	43,000	50,000	45,500
8998866501217	BBYHAPY S38+2(1X4)	POPOK	4.00	DUS	172,000	177,000	0
8998866500609	BBYHAPY XL 26(1X4)	POPOK	1.00	PCS	46,250	55,000	50,350
8998866500609	BBYHAPY XL 26(1X4)	POPOK	4.00	DUS	185,000	196,000	0
8998866500654	BBYHAPY XXL24(1X4)	POPOK	1.00	PAK	46,250	55,000	50,350
8998866500654	BBYHAPY XXL24(1X4)	POPOK	4.00	DUS	185,000	196,000	0
8992696404441	BEARBRAND 189 mL(1X30)	MNM	1.00	PCS	9,500	11,000	10,100
8992696404441	BEARBRAND 189 mL(1X30)	MNM	30.00	DUS	285,000	291,500	0
8992984910128	BELIBIS BTL135ml(1X48)	SAOS	1.00	PCS	6,800	8,000	7,150
8992984910128	BELIBIS BTL135ml(1X48)	SAOS	48.00	DUS	326,400	333,000	0
8992984910562	BELIBIS POCH 200g(1X24)	SAOS	1.00	PCS	6,000	7,000	6,360
8992984910562	BELIBIS POCH 200g(1X24)	SAOS	24.00	DUS	144,000	147,000	0
8996001354124	BENGBENG 22G(1X8X17)	MKAN	1.00	PCS	2,081	2,500	2,200
8996001354124	BENGBENG 22G(1X8X17)	MKAN	17.00	BOX	35,375	41,000	37,500
8996001354124	BENGBENG 22G(1X8X17)	MKAN	136.00	DUS	283,000	291,500	0
B64	BERAS 64 10KG	BERAS	1.00	PCS	131,500	134,500	132,500
ALN	BERAS ALINE	BERAS	1.00	PCS	129,500	133,000	131,000
BL	BERAS LOTUS 10KG	BERAS	1.00	PCS	136,000	138,500	136,500
BPDW	BERAS PANDAWA 10KG	BERAS	1.00	PCS	128,500	132,000	130,000
